10.10.10.2,tagged,1,00000000
10.10.10.2,tagged,157,000001C0
10.10.10.2,tagged,787,0000FDC0
10.10.10.2,tagged,1234,000003C0
10.10.10.2,tagged,1266,00000000
10.10.10.2,tagged,2234,FF0001C0
10.10.10.2,tagged,3005,000001C0
10.10.10.2,tagged,3214,00FF01C0
10.10.10.3,tagged,1,00000000
10.10.10.3,tagged,157,0001FCC0
10.10.10.3,tagged,787,0001FCC0
10.10.10.3,tagged,1234,000000C0
10.10.10.3,tagged,1266,00000300
10.10.10.3,tagged,2234,FF0000C0
10.10.10.3,tagged,3005,0001FCC0
10.10.10.3,tagged,3214,00FE00C0
10.10.10.4,tagged,1,00000000
10.10.10.4,tagged,667,F8000000
10.10.10.4,tagged,787,00000000
10.10.10.4,tagged,1234,000000C0
10.10.10.4,tagged,1570,000000C0
10.10.10.4,tagged,2234,070000C0
10.10.10.4,tagged,3005,0000FCC0
10.10.10.4,tagged,3214,00FF00C0
10.10.10.5,tagged,1,00000000
10.10.10.5,tagged,157,00000080
10.10.10.5,tagged,1234,000000C0
10.10.10.5,tagged,1266,01FE0000
10.10.10.5,tagged,1787,0000FC40
10.10.10.5,tagged,2234,FE0000C0
10.10.10.5,tagged,3045,00000000
10.10.10.5,tagged,3214,00010080
10.10.10.6,tagged,1,00000000
10.10.10.6,tagged,157,0001FC00
10.10.10.6,tagged,787,0001FC00
10.10.10.6,tagged,1234,000000C0
10.10.10.6,tagged,2234,FF000080
10.10.10.6,tagged,2255,00000000
10.10.10.6,tagged,3005,FF000000
10.10.10.6,tagged,3214,00FE0040
10.10.10.7,tagged,1,00000000
10.10.10.7,tagged,157,0001FC40
10.10.10.7,tagged,787,00000080
10.10.10.7,tagged,1234,000000C0
10.10.10.7,tagged,2234,FF000080
10.10.10.7,tagged,3005,00000040
10.10.10.7,tagged,3214,00000000
10.10.10.7,tagged,3840,00000300
10.10.10.2,untagged,1,00000000
10.10.10.2,untagged,157,00000000
10.10.10.2,untagged,787,0000FC00
10.10.10.2,untagged,1234,00000200
10.10.10.2,untagged,1266,00000000
10.10.10.2,untagged,2234,FF000000
10.10.10.2,untagged,3005,00000000
10.10.10.2,untagged,3214,00FF0000
10.10.10.3,untagged,1,00000000
10.10.10.3,untagged,157,00000000
10.10.10.3,untagged,787,0001FC00
10.10.10.3,untagged,1234,00000000
10.10.10.3,untagged,1266,00000300
10.10.10.3,untagged,2234,FF000000
10.10.10.3,untagged,3005,00000000
10.10.10.3,untagged,3214,00FE0000
10.10.10.4,untagged,1,00000000
10.10.10.4,untagged,667,F8000000
10.10.10.4,untagged,787,00000000
10.10.10.4,untagged,1234,00000000
10.10.10.4,untagged,1570,00000000
10.10.10.4,untagged,2234,07000000
10.10.10.4,untagged,3005,0000FC00
10.10.10.4,untagged,3214,00FF0000
10.10.10.5,untagged,1,00000000
10.10.10.5,untagged,157,00000000
10.10.10.5,untagged,1234,00000000
10.10.10.5,untagged,1266,01FE0000
10.10.10.5,untagged,1787,0000FC00
10.10.10.5,untagged,2234,FE000000
10.10.10.5,untagged,3045,00000000
10.10.10.5,untagged,3214,00010000
10.10.10.6,untagged,1,00000000
10.10.10.6,untagged,157,0001FC00
10.10.10.6,untagged,787,00000000
10.10.10.6,untagged,1234,00000000
10.10.10.6,untagged,2234,FF000000
10.10.10.6,untagged,2255,00000000
10.10.10.6,untagged,3005,00000000
10.10.10.6,untagged,3214,00FE0000
10.10.10.7,untagged,1,00000000
10.10.10.7,untagged,157,0001FC00
10.10.10.7,untagged,787,00000000
10.10.10.7,untagged,1234,00000000
10.10.10.7,untagged,2234,FF000000
10.10.10.7,untagged,3005,00000000
10.10.10.7,untagged,3214,00000000
10.10.10.7,untagged,3840,00000300
